run,reward
203,21.7447157138
204,21.6310259735
205,21.6672685566
206,21.6105958711
207,21.9644899124
208,21.9848450132
209,21.9449965631
210,22.0155465975
211,21.9753911315
212,21.9856372202
213,22.175780848
214,22.5340230395
215,22.6786828091
216,22.781895981
217,22.9440770212
218,23.114636251
219,23.0334898885
220,22.9131549896
221,22.8340234397
222,22.9856832053
223,22.9158263732
224,23.0566681095
225,23.1661014284
226,23.0644404141
227,22.91379601
228,23.0046580499
229,23.1946114694
230,23.2026653547
231,23.1606387012
232,23.0390323141
233,22.958641991
234,22.9890555711
235,22.9691650154
236,23.0394733652
237,23.0890786316
238,23.3381878453
239,23.3248059668
240,23.2915579071
241,23.2386423281
242,23.3162559048
243,23.2530933457
244,23.2105624123
245,23.4784567882
246,23.3936722203
247,23.3597354981
248,23.3761381431
249,23.2523767617
250,23.309852994
251,23.3067544641
252,23.3136869195
253,23.3505500503
254,23.6770445498
255,23.7502741043
256,23.8227713632
257,23.7245436496
258,23.6372982131
259,23.510925231
260,23.3758159787
261,23.2520578189
262,23.1295372407
263,23.0482418683
264,22.9877594496
265,22.8284030365
266,22.9478818551
267,22.8901190062
268,22.7812178161
269,22.653405638
270,22.5968715816
271,22.5309028658
272,22.4455938371
273,22.3711378987
274,22.2574265197
275,22.1748522545
276,22.523103732
277,22.8578726947
278,22.7192939677
279,22.6521010281
280,22.5755800178
281,22.5298242176
282,22.6045259754
283,22.9684807157
284,22.8587959085
285,22.8502079494
286,22.7617058699
287,22.8140888112
288,22.9559479231
289,22.9563884439
290,22.9468245595
291,22.9573563139
292,22.9477827507
293,22.9083049232
294,22.989221874
295,22.8893296552
296,22.7804363587
297,22.7326319951
298,22.6353056751
299,22.7189526184
300,22.9617630922
301,23.2121454613
302,23.0900240067
303,23.0091237666
304,22.9590325289
305,23.1694422037
306,23.3477477816
307,23.2142703038
308,23.3721276008
309,23.3184063248
310,23.2752222615
311,23.2824700389
312,23.1996453385
313,23.1976488851
314,23.1056723963
315,23.0046156723
316,22.9645695156
317,22.9849238204
318,22.9850745822
319,22.9552238364
320,23.095671598
321,23.0247148821
322,23.2244677332
323,23.4622230559
324,23.4776008253
325,23.4028248171
326,23.2587965689
327,23.2462086032
328,23.2637465172
329,23.461109052
330,23.5364979615
331,23.6011329819
332,23.4851216521
333,23.5202704356
334,23.7050677312
335,23.8080170539
336,23.6799368833
337,23.6631375145
338,23.7065061394
339,23.899441078
340,23.8404466672
341,23.7020422005
342,23.8750217785
343,23.8762715607
344,23.8875088451
345,24.0186337567
346,23.9884474191
347,24.1585629449
348,24.3169773155
349,24.2338075423
350,24.2014694669
351,24.1394547722
352,23.9768796223
353,24.1180602245
354,23.927110826
355,23.9378397178
356,23.9084613206
357,23.8793767074
358,23.9005829403
359,23.8215771109
360,23.7333613398
361,23.7160277264
362,23.6288674491
363,23.5825787746
364,23.4667529869
365,23.342085457
366,23.2386646025
367,23.3962779564
368,23.2523151769
369,23.2697920251
370,23.2370941049
371,23.3647231638
372,23.3310759322
373,23.2877651728
374,23.2248875211
375,23.1426386459
376,23.1012122594
377,23.0002001369
378,23.0501981355
379,22.9196961541
380,22.9804991926
381,22.9706942007
382,22.8109872587
383,22.9428773861
384,22.9134486122
385,23.2343141261
386,23.1719709848
387,23.300251275
388,23.1572487622
389,23.3356762746
390,23.2223195119
391,23.3600963167
392,23.5964953536
393,23.6705304
394,23.873825096
395,24.2750868451
396,24.2823359766
397,24.3195126169
398,24.1963174907
399,24.1043543158
400,24.1633107726
401,24.3116776649
402,25.0585608882
403,24.9879752794
404,25.2680955266
405,25.1054145713
406,25.1243604256
407,25.0931168213
408,25.5721856531
409,25.6164637966
410,25.4902991586
411,25.345396167
412,25.5119422054
413,25.4168227833
414,25.2826545555
415,25.5098280099
416,25.3947297298
417,25.3607824325
418,25.3871746082
419,25.3833028621
420,25.2494698335
421,25.3469751352
422,25.3235053838
423,25.25027033
424,25.2477676267
425,25.4852899504
426,25.3604370509
427,25.9268326804
428,25.9175643536
429,25.7583887101
430,25.700804823
431,25.7737967747
432,25.686058807
433,25.5891982189
434,25.4933062367
435,25.4383731744
436,25.3039894426
437,25.1509495482
438,25.5494400527
439,25.5739456522
440,26.0782061957
441,26.0474241337
442,25.9369498924
443,25.9975803934
444,26.0976045895
445,26.0966285436
446,26.0456622582
447,25.9152056356
448,26.4660535792
449,26.3413930434
450,27.057979113
451,27.0473993219
452,26.9869253287
453,26.9670560754
454,26.9473855146
455,26.8279116595
456,26.7296325429
457,26.5923362174
458,26.5064128553
459,26.4313487267
460,26.4370352395
461,26.4326648871
462,26.7083382382
463,26.8312548558
464,26.7129423072
465,26.8458128842
466,27.0373547553
467,27.4269812078
468,27.5627113957
469,28.0170842817
470,27.9169134389
471,27.8777443045
472,27.8389668615
473,27.8005771929
474,27.732571421
475,27.6652457067
476,27.6685932497
477,27.6819073172
478,27.845088244
479,28.3866373616
480,28.5427709879
481,28.4273432781
482,28.8230698453
483,28.7548391468
484,28.7872907554
485,28.6594178478
486,28.8228236693
487,28.9145954326
488,29.5954494783
489,29.4994949835
490,29.5345000337
491,29.5691550334
492,29.443463483
493,29.9490288482
494,29.9195385597
495,29.8003431741
496,29.9323397424
497,30.343016345
